|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_ETP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP|etp_total
U955-2|3|3|||||0|0|0|0|0|0|0|0|0,3|1|1,85|8|0|0|1|1|||7,3|8|0|0|1,5|2|||14,95
U955-21|1|1|||||0|0|2|2|1|1|1|1|0,8|2|4,2|11|0|0|||||2,5|3|0|0|0|0|||12,5
U955-3|2|2|1|1|||0|0|2|2|0|0|0|0|2|6|2,45|8|0|0|||||3|3|0|0|0|0|||12,45
U955-4|1|1|||||1|1|0|0|0|0|1|1|1,2|2|2,4|8|0|0|||||3|3|0|0|0|0|||9,6
U955-5|||||||0|0|1|1|0|0|0|0|0,5|1|2,3|6|0|0|||2|2|2|2|0|0|0|0|||7,8
U955-6|1|1|1,5|2|||0|0|0|0|0|0|0|0|0,5|1|0|0|0|0|||1|1|1|1|0|0|0|0|||5
U955-7|||1|1|||0|0|0|0|0|0|1|1|2,6|6|1,9|7|1|1|||1|1|2,3|3|0|0|0|0|||10,8
U955-8|||||||0,25|1|3|3|0|0|2|2|0,5|1|1,4|5|1|1|||1|1|2|3|0|0|0|0|||11,15
U955-9|||||||0|0|0|0|1|1|0|0|||2,8|9|0|0|||||3,7|5|1|1|0|0|||8,5
U958-1|1|1|||||0|0|0|0|0|0|0|0|0,5|1|0,9|4|0|0|0,8|1|1|1|2|2|0|0|0|0|||6,2
