code|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_PP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP
CIC1411|||||||0|0|0|0|0|0|0|0|||1,45|3|4,5|5|||||5|6|0|0|0|0||
CIC1412|||||||0|0|0|0|0|0|0|0|||0,6|2|4|4|||||51,5|54|0|0|0|0|6,8|7
CIC1413|0,2|1|||||0|0|0|0|0|0|0|0|||3,35|16|39,2|45|||||19,3|33|0|0|2|3|0,95|3
CIC1414|||||||0|0|3,5|4|0,1|1|0|0|1|3|19,5|93|18,85|20|||||42,9|53|0|0|0|0|1,95|5
CIC1415|||||||0|0|0|0|0|0|0|0|0,3|2|2|6|1,4|2|||||11,5|14|0|0|6|6|2,1|3
CIC1416|0,5|2|||||0|0|0|0|0|0|0,2|1|||1,5|8|3,7|7|0,5|1|||8,2|12|0|0|3,4|4||
CIC1417|||||||0|0|0|0|0|0|0|0|||2,3|4|11|11|||||4,5|5|0|0|0|0|1|1
CIC1418|||||||0|0|0|0|0|0|0|0|||1,45|7|5,4|6|||||6,7|9|0|0|0|0|1|1
CIC1419|||||||0|0|0|0|0|0|0|0|0,1|1|1,3|7|2|2|||||1|1|0|0|0|0||
CIC1420|||||||1|2|0|0|0|0|0|0|0,2|2|0,85|5|2,25|4|||||3,5|6|0|0|1|2|0,5|1
CIC1421|||||||0|0|0|0|0|0|0|0|||1,55|3|1|1|||||5,8|6|0|0|0|0|0,2|1
CIC1422|||||||0|0|0|0|0|0|0|0|||2,65|10|7,9|8|||||12|12|1|1|1|1||
CIC1423|0,15|2|||||0|0|0|0|0|0|1,1|2|0,1|1|2,25|13|12,25|23|||0,5|1|15,3|17|0|0|0|0|2,8|3
CIC1424|||||||0|0|0|0|4|4|0|0|||3,8|7|3|3|||||3|3|0|0|2|2||
CIC1425|||||||0|0|0|0|0|0|0|0|||4,8|19|16,15|23|1|1|||13,6|24|0|0|1,15|3||
CIC1426|||||||0|0|0,3|1|0|0|2|2|||0,25|3|11,6|12|||||16|16|0|0|3|4||
CIC1427|||||||0|0|0|0|0|0|0|0|0,2|2|0,75|8|2,5|3|||||6,4|15|0|0|0|0|1,3|3
CIC1428|0,1|1|0,1|1|||0|0|0|0|0|0|0|0|||1|11|2,85|18|||1,3|3|5,05|8|0|0|1,7|3||
CIC1429|||||||0|0|0|0|0|0|0|0|||1,15|2|6|6|||||0,4|1|0|0|0|0||
CIC1430|||||||0|0|0|0|0|0|0|0|1|2|3,95|19|5,6|10|||||22,5|27|0|0|0|0|2|2
CIC1431|||0,2|1|||0|0|2|2|0|0|12,1|14|0,1|1|6,25|23|11,7|21|||||38|52|0|0|0|0|2|2
CIC1432|||||||0|0|1,5|2|0|0|0|0|0,1|1|4,95|22|5,3|7|||||24,7|30|0|0|1|1||
CIC1433|0,3|1|||||1|1|1|1|0,8|1|1|1|||2,45|10|12,8|16|||1|1|36|39|0|0|7|7|5,3|6
CIC1434|||||||0|0|0|0|0|0|0|0|||0,8|3|2|2|||||9,4|10|0|0|2|2||
CIC1435|||||||0|0|0|0|0|0|0|0|||1,7|5|9|9|||||22,5|24|1|1|1|1|3|3
